line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.159874477923310E+08    1.500000  0.673904  3.856430  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0548  3.856430    0.000  1.934342  7.260651  0.7169737E+00  0.2686355E+00  9.0141776E-06  2.3723942E-06  3.3511140E-03  5.6989504E-03  2.3576730E-05  7.8014389E-09  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000083  0.0000000E+00  0.0000000000E+00
  2  0.568939532403852E+08    1.500000  0.677397  3.857363  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0664  3.857363    0.000  1.939748  7.264390  0.7086993E+00  0.2769056E+00  9.0887488E-06  2.3922413E-06  3.3510830E-03  5.6240732E-03  1.0302139E-04  2.7377172E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000084  0.0000000E+00  0.0000000000E+00
  3  0.971426263250970E+08    1.500000  0.680758  3.857597  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0666  3.857597    0.000  1.944123  7.266192  0.7002456E+00  0.2853553E+00  9.1648750E-06  2.4124088E-06  3.3542763E-03  5.5410492E-03  1.8720100E-04  5.0218065E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000085  0.0000000E+00  0.0000000000E+00
  4  0.137391299409809E+09    1.500000  0.683972  3.857712  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0694  3.857712    0.000  1.947732  7.267869  0.6924934E+00  0.2931045E+00  9.2243709E-06  2.4281702E-06  3.3600789E-03  5.4702658E-03  2.5523992E-04  6.8734036E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000085  0.0000000E+00  0.0000000000E+00
  5  0.173981002214092E+09    1.500000  0.687029  3.857814  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0695  3.857814    0.000  1.951586  7.269385  0.6847959E+00  0.3007994E+00  9.3079003E-06  2.4502949E-06  3.3689801E-03  5.3902749E-03  3.2925491E-04  8.8980903E-08  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000086  0.0000000E+00  0.0000000000E+00
  6  0.212766087186633E+09    1.500000  0.690315  3.857916  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0690  3.857916    0.000  1.955685  7.270994  0.6765260E+00  0.3090671E+00  9.4122125E-06  2.4779050E-06  3.3825192E-03  5.3009183E-03  4.0755145E-04  1.1051048E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000086  0.0000000E+00  0.0000000000E+00
  7  0.248989892962874E+09    1.500000  0.693398  3.857996  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0691  3.857996    0.000  1.959537  7.272510  0.6686977E+00  0.3168939E+00  9.5209048E-06  2.5066745E-06  3.3994880E-03  5.2131620E-03  4.7997676E-04  1.3049558E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000087  0.0000000E+00  0.0000000000E+00
  8  0.285213698739114E+09    1.500000  0.696485  3.858057  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.0689  3.858057    0.000  1.963402  7.274036  0.6607626E+00  0.3248283E+00  9.6461925E-06  2.5398235E-06  3.4211803E-03  5.1211015E-03  5.5121035E-04  1.5024911E-07  1.8768898E-03  1.5180834E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000088  0.0000000E+00  0.0000000000E+00
